Clave del Capitulo;Clave de la partida;Clave de la subpartida;Fracción Arancelaria;Descripción Fracción Arancelaria;Tipo de Operación;Tipo de UMT;Fecha Inicio de Vigencia;Fecha Fin de Vigencia;Estatus activo;
01;01;29;01012901;Para saltos o carreras.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;29;01012901;Para saltos o carreras.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;si fecha de vigencia es distinto a null se pone NO
01;01;29;01012902;Sin pedigree, para reproducción.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;29;01012902;Sin pedigree, para reproducción.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;29;01012903;Para abasto, cuando la importacion la realicen empacadoras Tipo Inspeccion Federal.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;29;01012903;Para abasto, cuando la importacion la realicen empacadoras Tipo Inspeccion Federal.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;29;01012999;Los demás.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;29;01012999;Los demás.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;30;01013001;Asnos.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;30;01013001;Asnos.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;21;01012101;Reproductores de raza pura.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;21;01012101;Reproductores de raza pura.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;10;01011001;Caballos.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;10;01011001;Caballos.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;10;01011099;Los demás.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;10;01011099;Los demás.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;90;01019099;Los demás.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;90;01019099;Los demás.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;90;01019001;Caballos para saltos o carreras.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;90;01019001;Caballos para saltos o carreras.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;90;01019002;Caballos sin pedigree, para reproducción.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
