Clave del Capitulo;Nombre capitulo;Partida Fracción;Nombre;Fecha Inicio de Vigencia;Fecha Fin de Vigencia;Estatus activo
58;"Tejidos especiales; superficies textiles con mechón insertado; encajes; tapicería; pasamanería; bordados";05;"Tapicería tejida a mano (gobelinos, Flandes, Aubusson, Beauvais y similares) y tapicería de aguja (por ejemplo: de ""petit point"", de punto de cruz), incluso confeccionadas.";1/11/11;NULL;SI
59;"Telas impregnadas, recubiertas, revestidas o estratificadas; artículos técnicos de materia textil";05;Revestimientos de materia textil para paredes.;1/11/11;NULL;SI
09;Café, té, yerba mate y especias;05;Vainilla.;1/11/11;NULL;SI
10;Cereales;05;Maíz.;1/11/11;NULL;SI
11;"Productos de la molinería; malta; almidón y fécula; inulina; gluten de trigo";05;"Harina, sémola, polvo, copos, gránulos y ""pellets"", de papa (patata).";1/11/11;NULL;SI
12;"Semillas y frutos oleaginosos; semillas y frutos diversos; plantas industriales o medicinales; paja y forraje";05;Semillas de nabo (nabina) o de colza, incluso quebrantadas.;1/11/11;NULL;SI
15;"Grasas y aceites animales o vegetales; productos de su desdoblamiento; grasas alimenticias elaboradas; ceras de origen animal o vegetal";05;Grasa de lana y sustancias grasas derivadas, incluida la lanolina.;1/11/11;NULL;SI
34;Jabón, agentes de superficie orgánicos, preparaciones para lavar, preparaciones lubricantes, ceras artificiales, ceras preparadas, productos de limpieza, velas y artículos similares, pastas para modelar, “ceras para odontología” y preparaciones para odont;05;Betunes y cremas para el calzado, encáusticos, abrillantadores (lustres) para carrocerías, vidrio o metal, pastas y polvos para fregar y preparaciones similares (incluso papel, guata, fieltro, tela sin tejer, plástico o caucho celulares, impregnados, recu;1/11/11;NULL;SI
35;"Materias albuminoideas; productos a base de almidón o de fécula modificados; colas; enzimas";05;"Dextrina y demás almidones y féculas modificados (por ejemplo: almidones y féculas pregelatinizados o esterificados); colas a base de almidón, fécula, dextrina o demás almidones o féculas modificados.";1/11/11;NULL;SI
36;"Pólvora y explosivos; artículos de pirotecnia; fósforos (cerillas); aleaciones pirofóricas; materias inflamables";05;Fósforos (cerillas), excepto los artículos de pirotecnia de la partida 36.04.;1/11/11;NULL;SI
37;Productos fotográficos o cinematográficos;05;Placas y películas, fotográficas, impresionadas y reveladas, excepto las cinematográficas (filmes).;1/11/11;NULL;SI
38;Productos diversos de las industrias químicas;05;"Esencias de trementina, de madera de pino o de pasta celulósica al sulfato (sulfato de trementina) y demás esencias terpénicas procedentes de la destilación o de otros tratamientos de la madera de coníferas; dipenteno en bruto; esencia de pasta celulósica";1/11/11;NULL;SI
41;Pieles (excepto la peletería) y cueros;05;"Pieles curtidas o ""crust"", de ovino, depiladas, incluso divididas pero sin otra preparación.";1/11/11;NULL;SI
42;"Manufacturas de cuero; artículos de talabartería o guarnicionería; artículos de viaje, bolsos de mano (carteras) y continentes similares; manufacturas de tripa";05;Las demás manufacturas de cuero natural o cuero regenerado.;1/11/11;NULL;SI
44;Madera, carbón vegetal y manufacturas de madera;05;"Lana de madera; harina de madera.";1/11/11;NULL;SI
47;"Pasta de madera o de las demás materias fibrosas celulósicas; papel o cartón para reciclar (desperdicios y desechos)";05;Pasta de madera obtenida por la combinación de tratamientos mecánico y químico.;1/11/11;NULL;SI
29;Productos químicos orgánicos;05;Alcoholes acíclicos y sus derivados halogenados, sulfonados, nitrados o nitrosados.;1/11/11;NULL;SI
30;Productos farmacéuticos;05;Guatas, gasas, vendas y artículos análogos (por ejemplo: apósitos, esparadrapos, sinapismos), impregnados o recubiertos de sustancias farmacéuticas o acondicionados para la venta al por menor con fines médicos, quirúrgicos, odontológicos o veterinarios.;1/11/11;NULL;SI
64;"Calzado, polainas y artículos análogos; partes de estos artículos";06;"Partes de calzado (incluidas las partes superiores fijadas a las palmillas distintas de la suela); plantillas, taloneras y artículos similares, amovibles; polainas y artículos similares, y sus partes.";1/11/11;NULL;SI
65;Sombreros, demás tocados, y sus partes;06;Los demás sombreros y tocados, incluso guarnecidos.;1/11/11;NULL;SI
68;Manufacturas de piedra, yeso fraguable, cemento, amianto (asbesto), mica o materias análogas;06;"Lana de escoria, de roca y lanas minerales similares; vermiculita dilatada, arcilla dilatada, espuma de escoria y productos minerales similares dilatados; mezclas y manufacturas de materias minerales para aislamiento térmico o acústico o para la absorción";1/11/11;NULL;SI
69;Productos cerámicos;06;Tubos, canalones y accesorios de tubería, de cerámica.;1/11/11;NULL;SI
70;Vidrio y sus manufacturas;06;Vidrio de las partidas 70.03, 70.04 ó 70.05, curvado, biselado, grabado, taladrado, esmaltado o trabajado de otro modo, pero sin enmarcar ni combinar con otras materias.;1/11/11;NULL;SI
71;"Perlas naturales o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas";06;Plata (incluida la plata dorada y la platinada) en bruto, semilabrada o en polvo.;1/11/11;NULL;SI
72;Fundición, hierro y acero;06;Hierro y acero sin alear, en lingotes o demás formas primarias, excepto el hierro de la partida 72.03.;1/11/11;NULL;SI
73;Manufacturas de fundición, hierro o acero;06;Los demás tubos y perfiles huecos (por ejemplo: soldados, remachados, grapados o con los bordes simplemente aproximados), de hierro o acero.;1/11/11;NULL;SI
74;Cobre y sus manufacturas;06;Polvo y escamillas, de cobre.;1/11/11;NULL;SI
75;Níquel y sus manufacturas;06;Chapas, hojas y tiras, de níquel.;1/11/11;NULL;SI
76;Aluminio y sus manufacturas;06;Chapas y tiras, de aluminio, de espesor superior a 0.2 mm.;1/11/11;NULL;SI
96;Manufacturas diversas;06;"Botones y botones de presión; formas para botones y demás partes de botones o de botones de presión; esbozos de botones.";1/11/11;NULL;SI
97;Objetos de arte o colección y antigüedades;06;Antigüedades de más de cien años.;1/11/11;NULL;SI
98;Operaciones especiales;06;Importaciones o exportaciones de materiales y equipos sujetos a tratamiento especial.;1/11/11;NULL;SI
78;Plomo y sus manufacturas;06;Las demás manufacturas de plomo.;1/11/11;NULL;SI
81;"Los demás metales comunes; cermets; manufacturas de estas materias";06;Bismuto y sus manufacturas, incluidos los desperdicios y desechos.;1/11/11;NULL;SI
82;"Herramientas y útiles, artículos de cuchillería y cubiertos de mesa, de metal común; partes de estos artículos, de metal común";06;Herramientas de dos o más de las partidas 82.02 a 82.05, acondicionadas en juegos para la venta al por menor.;1/11/11;NULL;SI
86;"Vehículos y material para vías férreas o similares, y sus partes; aparatos mecánicos (incluso electromecánicos) de señalización para vías de comunicación";06;Vagones para transporte de mercancías sobre carriles (rieles).;1/11/11;NULL;SI
60;Tejidos de punto;06;Los demás tejidos de punto.;1/11/11;NULL;SI
61;Prendas y complementos (accesorios), de vestir, de punto;06;Camisas, blusas y blusas camiseras, de punto, para mujeres o niñas.;1/11/11;NULL;SI
62;Prendas y complementos (accesorios), de vestir, excepto los de punto;06;Camisas, blusas y blusas camiseras, para mujeres o niñas.;1/11/11;NULL;SI
63;"Los demás artículos textiles confeccionados; juegos; prendería y trapos";06;"Toldos de cualquier clase; tiendas (carpas); velas para embarcaciones, deslizadores o vehículos terrestres; artículos de acampar.";1/11/11;NULL;SI
87;"Vehículos automóviles, tractores, velocípedos y demás vehículos terrestres; sus partes y accesorios";06;Chasis de vehículos automóviles de las partidas 87.01 a 87.05, equipados con su motor.;1/11/11;NULL;SI
89;Barcos y demás artefactos flotantes;06;Los demás barcos, incluidos los navíos de guerra y barcos de salvamento excepto los de remo.;1/11/11;NULL;SI
90;"Instrumentos y aparatos de óptica, fotografía o cinematografía, de medida, control o precisión; instrumentos y aparatos medicoquirúrgicos; partes y accesorios de estos instrumentos o aparatos";06;"Cámaras fotográficas; aparatos y dispositivos, incluidos las lámparas y tubos, para la producción de destellos en fotografía, excepto las lámparas y tubos de descarga de la partida 85.39.";1/11/11;NULL;SI
79;Cinc y sus manufacturas;06;S/N;1/11/11;NULL;SI
80;Estaño y sus manufacturas;06;S/N;1/11/11;NULL;SI
85;"Máquinas, aparatos y material eléctrico, y sus partes; aparatos de grabación o reproducción de sonido, aparatos de grabación o reproducción de imagen y sonido en televisión, y las partes y accesorios de estos aparatos";06;Pilas y baterías de pilas, eléctricas.;1/11/11;NULL;SI
84;"Reactores nucleares, calderas, máquinas, aparatos y artefactos mecánicos; partes de estas máquinas o aparatos";06;Turbinas de vapor.;1/11/11;NULL;SI
91;Aparatos de relojería y sus partes;06;Aparatos de control de tiempo y contadores de tiempo, con mecanismo de relojería o motor sincrónico (por ejemplo: registradores de asistencia, registradores fechadores, registradores contadores).;1/11/11;NULL;SI
92;"Instrumentos musicales; sus partes y accesorios";06;Instrumentos musicales de percusión (por ejemplo: tambores, cajas, xilófonos, platillos, castañuelas, maracas).;1/11/11;NULL;SI
93;Armas, municiones, y sus partes y accesorios;06;Bombas, granadas, torpedos, minas, misiles, cartuchos y demás municiones y proyectiles, y sus partes, incluidas las postas, perdigones y tacos para cartuchos.;1/11/11;NULL;SI
94;"Muebles; mobiliario medicoquirúrgico; artículos de cama y similares; aparatos de alumbrado no expresados ni comprendidos en otra parte; anuncios, letreros y placas indicadoras, luminosos y artículos similares; construcciones prefabricadas";06;Construcciones prefabricadas.;1/11/11;NULL;SI
95;"Juguetes, juegos y artículos para recreo o deporte; sus partes y accesorios";06;"Artículos y material para cultura física, gimnasia, atletismo, demás deportes (incluido el tenis de mesa) o para juegos al aire libre, no expresados ni comprendidos en otra parte de este Capítulo; piscinas, incluso infantiles.";1/11/11;NULL;SI
