Clave del capitulo;Partida Fracción;Clave Subpartida Fracción;Nombre;Fecha Inicio de Vigencia;Fecha Fin de Vigencia;Estatus activo
58;01;37;Terciopelo y felpa por urdimbre.;1/7/12;NULL;SI
29;17;37;Tereftalato de dimetilo.;1/11/11;NULL;SI
72;08;37;De espesor superior o igual a 4.75 mm pero inferior o igual a 10 mm.;1/11/11;NULL;SI
70;13;37;Los demás.;1/11/11;NULL;SI
72;08;38;De espesor superior o igual a 3 mm pero inferior a 4.75 mm.;1/11/11;NULL;SI
84;28;39;Los demás.;1/11/11;NULL;SI
84;30;39;Las demás.;1/11/11;NULL;SI
84;31;39;Las demás.;1/11/11;NULL;SI
84;43;39;Las demás.;1/11/11;NULL;SI
90;18;39;Los demás.;1/11/11;NULL;SI
90;21;39;Los demás.;1/11/11;NULL;SI
84;19;39;Los demás.;1/11/11;NULL;SI
87;16;39;Los demás.;1/11/11;NULL;SI
61;08;39;De las demás materias textiles.;1/11/11;NULL;SI
85;15;39;Los demás.;1/11/11;NULL;SI
29;14;39;Las demás.;1/11/11;NULL;SI
29;15;39;Los demás.;1/11/11;NULL;SI
85;42;39;Los demás.;1/11/11;NULL;SI
29;16;39;Los demás.;1/11/11;NULL;SI
29;22;39;Los demás.;1/11/11;NULL;SI
62;11;39;De las demás materias textiles.;1/11/11;NULL;SI
63;02;39;De las demás materias textiles.;1/11/11;NULL;SI
85;33;39;Las demás.;1/11/11;NULL;SI
29;37;39;Los demás.;1/11/11;30/6/12;SI
30;04;39;Los demás.;1/11/11;NULL;SI
28;27;39;Los demás.;1/11/11;NULL;SI
28;35;39;Los demás.;1/11/11;NULL;SI
29;03;39;Los demás.;1/11/11;NULL;SI
29;05;39;Los demás.;1/11/11;NULL;SI
61;03;39;De las demás materias textiles.;1/11/11;NULL;SI
61;04;39;De las demás materias textiles.;1/11/11;NULL;SI
61;12;39;De las demás materias textiles.;1/11/11;NULL;SI
62;03;39;De las demás materias textiles.;1/11/11;NULL;SI
62;04;39;De las demás materias textiles.;1/11/11;NULL;SI
70;02;39;Los demás.;1/11/11;NULL;SI
71;02;39;Los demás.;1/11/11;NULL;SI
71;10;39;Los demás.;1/11/11;NULL;SI
70;19;39;Los demás.;1/11/11;NULL;SI
37;02;39;Las demás.;1/11/11;NULL;SI
72;08;39;De espesor inferior a 3 mm.;1/11/11;NULL;SI
29;17;39;Los demás.;1/11/11;NULL;SI
63;05;39;Los demás.;1/11/11;NULL;SI
96;08;39;Las demás.;1/11/11;30/6/12;SI
55;13;39;Los demás tejidos.;1/11/11;NULL;SI
44;01;39;Los demás.;1/7/12;NULL;SI
01;02;39;Los demás.;1/7/12;NULL;SI
03;04;39;Los demás.;1/7/12;NULL;SI
03;05;39;Los demás.;1/7/12;NULL;SI
58;06;39;De las demás materias textiles.;1/11/11;NULL;SI
95;06;39;Los demás.;1/11/11;NULL;SI
16;02;39;Las demás.;1/11/11;NULL;SI
20;09;39;Los demás.;1/11/11;NULL;SI
52;11;39;Los demás tejidos.;1/11/11;NULL;SI
52;10;39;Los demás tejidos.;1/11/11;NULL;SI
54;02;39;Los demás.;1/11/11;NULL;SI
54;03;39;Los demás.;1/11/11;NULL;SI
84;74;39;Los demás.;1/11/11;NULL;SI
44;10;39;S/N;1/11/11;NULL;SI
44;11;39;S/N;1/11/11;NULL;SI
55;14;39;S/N;1/11/11;NULL;SI
63;06;39;S/N;1/11/11;NULL;SI
13;02;39;Los demás.;1/11/11;NULL;SI
85;19;39;S/N;1/11/11;NULL;SI
85;20;39;S/N;1/11/11;NULL;SI
85;24;39;S/N;1/11/11;NULL;SI
85;27;39;S/N;1/11/11;NULL;SI
87;08;39;S/N;1/11/11;NULL;SI
57;02;39;De las demás materias textiles.;1/11/11;NULL;SI
85;02;39;Los demás.;1/11/11;NULL;SI
52;09;39;Los demás tejidos.;1/11/11;NULL;SI
84;48;39;Los demás.;1/11/11;NULL;SI
84;59;39;Las demás.;1/11/11;NULL;SI
84;62;39;Las demás.;1/11/11;NULL;SI
85;39;39;Los demás.;1/11/11;NULL;SI
84;60;39;Las demás.;1/11/11;NULL;SI
